ItemNb,Condition,Sound1,DurationSound1,Sound2,DurationSound2,Sound3,DurationSound3,ExpectedKey,Condition2,trials_task3.thisRepN,trials_task3.thisTrialN,trials_task3.thisN,trials_task3.thisIndex,trials_task1.thisRepN,trials_task1.thisTrialN,trials_task1.thisN,trials_task1.thisIndex,thisRow.t,notes,Welcome.started,textWelcomeMessage.started,keyWelcome.started,Welcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,Welcome_2.started,textWelcome2.started,key_resp_5.started,Welcome_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Welcome_3.started,textWelcome3.started,key_resp_6.started,Welcome_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,blank.started,blank1.started,blank1.stopped,blank.stopped,volume_explanation.started,text_volume.started,key_resp_8.started,volume_explanation.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,volume.started,text_2.started,key_resp_7.started,sound_testvolume.started,volume.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,explanation.started,text.started,key_info_oddity.started,explanation.stopped,key_info_oddity.keys,key_info_oddity.rt,key_info_oddity.duration,task3.started,key_replay3.started,text_recording1_3.started,sound1_3.started,key_resp_question3.started,text_recording1_3.stopped,text_questiontask3.started,task3.stopped,key_resp_question3.keys,key_resp_question3.rt,key_resp_question3.duration,key_replay3.keys,sound1_3.stopped,explanation_3.started,text_4.started,key_resp_3.started,explanation_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,explanation_1.started,text_explanation_1.started,key_resp.started,explanation_1.stopped,key_resp.keys,key_resp.rt,key_resp.duration,task1.started,key_replay1.started,text_recording1.started,sound1.started,text_recording1.stopped,text_recording2.started,sound2.started,text_recording2.stopped,sound2.stopped,text_recording3.started,sound3.started,key_resp_question1.started,text_recording3.stopped,text_question1.started,task1.stopped,key_resp_question1.keys,key_resp_question1.rt,key_resp_question1.duration,key_replay1.keys,replay_count,sound1.stopped,sound3.stopped,key_replay1.rt,key_replay1.duration,Bye.started,text_6.started,text_6.stopped,Bye.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
53,NotModifiedSH,resources/new_sounds_not_modified/M6fresher.wav,0.558439616650624,None,None,None,None,e,M,0,4,4,29,,,,,101.0941787000047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.07442369998898,101.0941787000047,101.5886487000389,0.5145911999279633,102.13849249994382,102.15526639996096,102.63842019997537,102.84001949999947,e,0.6866522999480367,None,None,1.0812254999764264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
46,NotModifiedT,resources/new_sounds_not_modified/M6pet.wav,0.506976177381986,None,None,None,None,e,M,0,5,5,22,,,,,102.86193539993837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.84079389995895,102.86193539993837,103.35465540003497,0.5142344000050798,103.85458689997904,103.89076370000839,104.35447819996625,104.9725511999568,e,1.1085120999487117,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
37,ModifiedT,resources/new_sounds_2/F4lot.wav,0.449274376417234,None,None,None,None,r,F,0,6,6,13,,,,,104.99336219998077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.97346639994066,104.99336219998077,105.48749319999479,0.5144027000060305,105.93717039993498,105.93717039993498,106.43722089997027,107.27182679995894,e,1.3179623999167234,None,None,0.9645035000285134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
50,NotModifiedSH,resources/new_sounds_not_modified/M3dish.wav,0.409302075267592,None,None,None,None,e,M,0,7,7,26,,,,,107.2923777999822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.27263859997038,107.2923777999822,107.78661039995495,0.5143580000149086,108.1864523999393,108.22336579998955,108.6863351999782,108.92145929997787,e,0.732017100090161,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
27,ModifiedSH,resources/new_sounds_2/M4flesh.wav,0.722767978649223,None,None,None,None,r,M,0,8,8,3,,,,,108.94277990004048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.92217999999411,108.94277990004048,109.43605250003748,0.514229999971576,110.15252290002536,110.16922020004131,110.65220719994977,111.02040050004143,r,0.8598836999153718,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
49,NotModifiedT,resources/new_sounds_not_modified/M2lot.wav,0.466575772426751,None,None,None,None,e,M,0,9,9,25,,,,,111.04098890000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.02116829995066,111.04098890000023,111.53550630004611,0.5147045999765396,112.0018441999564,112.0018441999564,112.50172499998007,113.1530286000343,e,1.1386871000286192,None,None,0.9814843999920413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
39,ModifiedSH,resources/new_sounds_2/M7fresher.wav,0.497256235827664,None,None,None,None,r,M,0,10,10,15,,,,,113.17346189997625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.1538203000091,113.17346189997625,113.66787100001238,0.5144224000396207,114.15113310003653,114.1677051000297,114.65101110003889,115.48565919999965,r,1.322301600011997,None,None,1.0142522000242025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
40,ModifiedSH,resources/new_sounds_2/F5fresher.wav,0.567437641723356,None,None,None,None,r,F,0,11,11,16,,,,,115.5067969999509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.48656929994468,115.5067969999509,116.00048399996012,0.5144205000251532,116.58072820003144,116.58072820003144,117.06681929994375,117.58502220001537,r,0.9987266000825912,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
47,ModifiedT,resources/new_sounds_2/M6root.wav,0.557210884353742,None,None,None,None,r,M,0,12,12,23,,,,,117.60628169996198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.58582299994305,117.60628169996198,118.09979200002272,0.5143388999858871,118.64957370003685,118.66626209998503,119.1494265999645,119.45101580000482,e,0.7893976999912411,None,None,1.0808042000280693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
25,ModifiedSH,resources/new_sounds_2/F1swoosh.wav,0.770486715748874,None,None,None,None,r,F,0,13,13,1,,,,,119.47201260004658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.45181420003064,119.47201260004658,119.96599049994256,0.5145603000419214,120.73238349996973,120.74888219998684,121.23200850002468,122.64987620001193,e,1.9012220000149682,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
30,ModifiedT,resources/new_sounds_2/F3footer.wav,0.597777777777778,None,None,None,None,r,F,0,14,14,6,,,,,122.67089730000589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.65065039996989,122.67089730000589,123.16509829997085,0.5148752999957651,123.74791939998977,123.76468859997112,124.24766879994422,124.78256830002647,r,1.0212213000049815,None,None,1.1144042999949306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
31,NotModifiedT,resources/new_sounds_not_modified/F3footer.wav,0.573733808005514,None,None,None,None,e,F,0,15,15,7,,,,,124.80587339994963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.7833567999769,124.80587339994963,125.2974803999532,0.5145050999708474,125.86382089997642,125.88050379999913,126.36377019993961,126.66540820000228,r,0.7964189000194892,None,None,1.0975047999527305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
44,ModifiedSH,resources/new_sounds_2/F2thrasher.wav,0.510249433106576,None,None,None,None,r,F,0,16,16,20,,,,,126.6937515999889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.66618629998993,126.6937515999889,127.18011249997653,0.5143110998906195,127.67985590000171,127.69647189998068,128.1798288000282,128.54785049997736,r,0.8597638999344781,None,None,1.0306604999350384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
32,ModifiedT,resources/new_sounds_2/M2city.wav,0.658866213151928,None,None,None,None,r,M,0,17,17,8,,,,,128.5692608000245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.54864589998033,128.5692608000245,129.0629097999772,0.5146303999936208,129.71277129999362,129.7293653000379,130.21241969999392,130.51398459996562,r,0.7890263999579474,None,None,1.1810822000261396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
43,NotModifiedT,resources/new_sounds_not_modified/F2feat.wav,0.644364234737267,None,None,None,None,e,F,0,18,18,19,,,,,130.53503679996356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.51476489997003,130.53503679996356,131.02898960001767,0.5146064999280497,131.66197240003385,131.67867880000267,132.16203380003572,132.31325839995407,e,0.6428893000120297,None,None,1.164297999930568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
33,ModifiedT,resources/new_sounds_2/M7fatter.wav,0.644739229024943,None,None,None,None,r,M,0,19,19,9,,,,,132.3337223000126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.31397080002353,132.3337223000126,132.82823989994358,0.5146252999547869,133.46126500004902,133.47793029993773,133.96155400003772,134.1629708999535,r,0.6847160999896005,None,None,1.1643088000128046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
34,ModifiedSH,resources/new_sounds_2/M7mosh.wav,0.486031746031746,None,None,None,None,r,M,0,20,20,10,,,,,134.18363680003677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.16376949998084,134.18363680003677,134.6776013999479,0.5142568999435753,135.1607380999485,135.18899379996583,135.66075549996458,136.16193489998113,r,0.9896101000485942,None,None,1.025620299973525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
48,ModifiedT,resources/new_sounds_2/M3lottery.wav,0.649773242630385,None,None,None,None,r,M,0,21,21,24,,,,,136.18299729994033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.1627144999802,136.18299729994033,136.67685299995355,0.5144999000476673,137.32662659999914,137.32662659999914,137.82671659998596,138.04491840000264,e,0.7153698999900371,None,None,1.1647249000379816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
41,ModifiedT,resources/new_sounds_2/F4utter.wav,0.53952380952381,None,None,None,None,r,F,0,22,22,17,,,,,138.06617589993402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.0456885000458,138.06617589993402,138.55983909999486,0.5145302000455558,139.09290509996936,139.12394479999784,139.5927843999816,139.72764669999015,e,0.6322269000811502,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
36,NotModifiedT,resources/new_sounds_not_modified/F4lot.wav,0.386965569882676,None,None,None,None,e,F,0,23,23,12,,,,,139.74808859999757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.72844660002738,139.74808859999757,140.24242379993666,0.5143418000079691,140.62571679998655,140.64225629996508,141.1255969000049,141.96025260002352,e,1.3173980000428855,None,None,0.9141713000135496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
54,NotModifiedSH,resources/new_sounds_not_modified/F5thrasher.wav,0.585496600933162,None,None,None,None,e,F,0,24,24,30,,,,,141.98118300002534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.96108000003733,141.98118300002534,142.47491969994735,0.5142770000966266,143.05806349997874,143.08984439994674,143.55810160003603,143.90952380001545,r,0.8465810000197962,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
45,NotModifiedSH,resources/new_sounds_not_modified/F3mosh.wav,0.628649263052651,None,None,None,None,e,F,0,25,25,21,,,,,143.9308713999344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.91028529999312,143.9308713999344,144.42452110000886,0.5145937000634149,145.04097440000623,145.0575966000324,145.54074750002474,146.24216000002343,e,1.1871092999354005,None,None,1.1476631000405177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
51,NotModifiedSH,resources/new_sounds_not_modified/M4mosh.wav,0.573267020202984,None,None,None,None,e,M,0,26,26,27,,,,,146.26371339999605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.24294649995863,146.26371339999605,146.75718359998427,0.5146187000209466,147.32350399997085,147.34007719997317,147.82341419998556,148.0581640000455,r,0.718445000005886,None,None,1.097503799945116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
28,ModifiedSH,resources/new_sounds_2/F3flushing.wav,0.687845804988662,None,None,None,None,r,F,0,27,27,4,,,,,148.0790845999727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.05896249995567,148.0790845999727,148.57308030000422,0.5144780001137406,149.2562873000279,149.2727603999665,149.75604649994057,150.1409326000139,r,0.8795539999846369,None,None,1.2141584000783041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
29,NotModifiedT,resources/new_sounds_2/M4getting.wav,0.612123590008089,None,None,None,None,e,M,0,28,28,5,,,,,150.16239379998296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.14172439998947,150.16239379998296,150.65565890003927,0.5143195999553427,151.25539579999167,151.27218379999977,151.75517549994402,152.3567126999842,e,1.087587199988775,None,None,1.13084080000408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
35,NotModifiedSH,resources/new_sounds_not_modified/M7mosh.wav,0.618134342110551,None,None,None,None,e,M,0,29,29,11,,,,,152.37799519998953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.35756799997762,152.37799519998953,152.8716341999825,0.5144722999539226,153.48811060003936,153.5046229000436,153.98790900001768,154.18940230004955,r,0.6923511999193579,None,None,1.147451400058344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
24,NotModifiedT,resources/new_sounds_not_modified/F1party.wav,0.63399526438517,None,None,None,None,e,F,0,30,30,0,,,,,154.21009890001733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.19018849998247,154.21009890001733,154.7042580000125,0.5144520000321791,155.3374666000018,155.3374666000018,155.83734450000338,156.2055462000426,e,0.8561736999545246,None,None,1.1480904000345618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.20610249997117,156.22209289995953,156.22209289995953,179.13034949998837,space,22.895924699958414,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.1303925999673,179.14688549994025,179.14688549994025,212.76901010004804,space,33.620043299975805,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul,001,2024-02-04_22h01.37.808,M2_experiment1,2023.2.3,60.12274663829117,2024-02-04 22h02.53.337998 +0100,
